BFS_NR_GEMEINDE;GEMEINDE_NAME;BEZIRK_NR;BEZIRK_NAME;JAHR;ANZAHL_PERSONEN
4751;Rickenbach;2014;Bezirk Münchwilen;2022;2994
4761;Sirnach;2014;Bezirk Münchwilen;2022;7949
4781;Wängi;2014;Bezirk Münchwilen;2022;4807
4881;Amlikon-Bissegg;2015;Bezirk Weinfelden;2022;1371
4471;Bischofszell;2015;Bezirk Weinfelden;2022;6055
4486;Hauptwil-Gottshaus;2015;Bezirk Weinfelden;2022;2027
4501;Kradolf-Schönenberg;2015;Bezirk Weinfelden;2022;3659
4941;Märstetten;2015;Bezirk Weinfelden;2022;2912
4946;Weinfelden;2015;Bezirk Weinfelden;2022;11848
4511;Zihlschlacht-Sitterdorf;2015;Bezirk Weinfelden;2022;2527
4406;Dozwil;2011;Bezirk Arbon;2022;713
4416;Hefenhofen;2011;Bezirk Arbon;2022;1294
4426;Kesswil;2011;Bezirk Arbon;2022;1007
4436;Romanshorn;2011;Bezirk Arbon;2022;11491
4536;Basadingen-Schlattingen;2012;Bezirk Frauenfeld;2022;1845
4806;Eschenz;2012;Bezirk Frauenfeld;2022;1885
4561;Felben-Wellhausen;2012;Bezirk Frauenfeld;2022;3191
4590;Hüttlingen;2012;Bezirk Frauenfeld;2022;849
4821;Hüttwilen;2012;Bezirk Frauenfeld;2022;1763
4601;Neunforn;2012;Bezirk Frauenfeld;2022;1082
4871;Wagenhausen;2012;Bezirk Frauenfeld;2022;1780
4651;Gottlieben;2013;Bezirk Kreuzlingen;2022;343
4656;Güttingen;2013;Bezirk Kreuzlingen;2022;1708
4666;Kemmental;2013;Bezirk Kreuzlingen;2022;2722
4701;Wäldi;2013;Bezirk Kreuzlingen;2022;1119
4551;Aadorf;2014;Bezirk Münchwilen;2022;9402
4716;Bettwiesen;2014;Bezirk Münchwilen;2022;1273
4721;Bichelsee-Balterswil;2014;Bezirk Münchwilen;2022;2995
4723;Braunau;2014;Bezirk Münchwilen;2022;855
4724;Eschlikon;2014;Bezirk Münchwilen;2022;4829
4746;Münchwilen;2014;Bezirk Münchwilen;2022;5823
4776;Tobel-Tägerschen;2014;Bezirk Münchwilen;2022;1618
4786;Wilen;2014;Bezirk Münchwilen;2022;2499
4891;Berg;2015;Bezirk Weinfelden;2022;3523
4911;Bürglen;2015;Bezirk Weinfelden;2022;4059
4756;Schönholzerswilen;2015;Bezirk Weinfelden;2022;883
4506;Sulgen;2015;Bezirk Weinfelden;2022;4046
4411;Egnach;2011;Bezirk Arbon;2022;4888
4421;Horn;2011;Bezirk Arbon;2022;2900
4431;Roggwil;2011;Bezirk Arbon;2022;3350
4545;Diessenhofen;2012;Bezirk Frauenfeld;2022;4101
4571;Gachnang;2012;Bezirk Frauenfeld;2022;4554
4826;Mammern;2012;Bezirk Frauenfeld;2022;691
4591;Matzingen;2012;Bezirk Frauenfeld;2022;3102
4841;Pfyn;2012;Bezirk Frauenfeld;2022;2201
4546;Schlatt;2012;Bezirk Frauenfeld;2022;1853
4611;Thundorf;2012;Bezirk Frauenfeld;2022;1594
4616;Uesslingen-Buch;2012;Bezirk Frauenfeld;2022;1116
4643;Bottighofen;2013;Bezirk Kreuzlingen;2022;2694
4671;Kreuzlingen;2013;Bezirk Kreuzlingen;2022;22774
4683;Lengwil;2013;Bezirk Kreuzlingen;2022;1754
4691;Münsterlingen;2013;Bezirk Kreuzlingen;2022;3511
4846;Raperswilen;2013;Bezirk Kreuzlingen;2022;435
4851;Salenstein;2013;Bezirk Kreuzlingen;2022;1432
4696;Tägerwilen;2013;Bezirk Kreuzlingen;2022;5148
4726;Fischingen;2014;Bezirk Münchwilen;2022;2925
4741;Lommis;2014;Bezirk Münchwilen;2022;1250
4711;Affeltrangen;2015;Bezirk Weinfelden;2022;2781
4901;Birwinken;2015;Bezirk Weinfelden;2022;1378
4921;Bussnang;2015;Bezirk Weinfelden;2022;2537
4476;Erlen;2015;Bezirk Weinfelden;2022;3883
4495;Hohentannen;2015;Bezirk Weinfelden;2022;659
4951;Wigoltingen;2015;Bezirk Weinfelden;2022;2594
4791;Wuppenau;2015;Bezirk Weinfelden;2022;1184
4406;Dozwil;2011;Bezirk Arbon;2021;685
4416;Hefenhofen;2011;Bezirk Arbon;2021;1321
4566;Frauenfeld;2012;Bezirk Frauenfeld;2021;25816
4590;Hüttlingen;2012;Bezirk Frauenfeld;2021;833
4821;Hüttwilen;2012;Bezirk Frauenfeld;2021;1726
4591;Matzingen;2012;Bezirk Frauenfeld;2021;3027
4831;Müllheim;2012;Bezirk Frauenfeld;2021;3173
4601;Neunforn;2012;Bezirk Frauenfeld;2021;1066
4864;Steckborn;2012;Bezirk Frauenfeld;2021;3915
4616;Uesslingen-Buch;2012;Bezirk Frauenfeld;2021;1105
4871;Wagenhausen;2012;Bezirk Frauenfeld;2021;1771
4621;Warth-Weiningen;2012;Bezirk Frauenfeld;2021;1372
4641;Altnau;2013;Bezirk Kreuzlingen;2021;2318
4656;Güttingen;2013;Bezirk Kreuzlingen;2021;1688
4666;Kemmental;2013;Bezirk Kreuzlingen;2021;2624
4671;Kreuzlingen;2013;Bezirk Kreuzlingen;2021;22528
4846;Raperswilen;2013;Bezirk Kreuzlingen;2021;418
4701;Wäldi;2013;Bezirk Kreuzlingen;2021;1071
4721;Bichelsee-Balterswil;2014;Bezirk Münchwilen;2021;3012
4723;Braunau;2014;Bezirk Münchwilen;2021;810
4746;Münchwilen;2014;Bezirk Münchwilen;2021;5826
4776;Tobel-Tägerschen;2014;Bezirk Münchwilen;2021;1570
4711;Affeltrangen;2015;Bezirk Weinfelden;2021;2683
4881;Amlikon-Bissegg;2015;Bezirk Weinfelden;2021;1350
4901;Birwinken;2015;Bezirk Weinfelden;2021;1330
4495;Hohentannen;2015;Bezirk Weinfelden;2021;652
4946;Weinfelden;2015;Bezirk Weinfelden;2021;11643
4791;Wuppenau;2015;Bezirk Weinfelden;2021;1177
4401;Arbon;2011;Bezirk Arbon;2021;15123
4411;Egnach;2011;Bezirk Arbon;2021;4802
4441;Salmsach;2011;Bezirk Arbon;2021;1491
4446;Sommeri;2011;Bezirk Arbon;2021;630
4451;Uttwil;2011;Bezirk Arbon;2021;1933
4545;Diessenhofen;2012;Bezirk Frauenfeld;2021;4098
4806;Eschenz;2012;Bezirk Frauenfeld;2021;1889
4561;Felben-Wellhausen;2012;Bezirk Frauenfeld;2021;2963
4811;Herdern;2012;Bezirk Frauenfeld;2021;1105
4826;Mammern;2012;Bezirk Frauenfeld;2021;686
4683;Lengwil;2013;Bezirk Kreuzlingen;2021;1721
4691;Münsterlingen;2013;Bezirk Kreuzlingen;2021;3498
4851;Salenstein;2013;Bezirk Kreuzlingen;2021;1422
4716;Bettwiesen;2014;Bezirk Münchwilen;2021;1250
4751;Rickenbach;2014;Bezirk Münchwilen;2021;2898
4786;Wilen;2014;Bezirk Münchwilen;2021;2483
4781;Wängi;2014;Bezirk Münchwilen;2021;4773
4471;Bischofszell;2015;Bezirk Weinfelden;2021;5954
4921;Bussnang;2015;Bezirk Weinfelden;2021;2533
4911;Bürglen;2015;Bezirk Weinfelden;2021;3979
4486;Hauptwil-Gottshaus;2015;Bezirk Weinfelden;2021;2032
4756;Schönholzerswilen;2015;Bezirk Weinfelden;2021;849
4506;Sulgen;2015;Bezirk Weinfelden;2021;4014
4461;Amriswil;2011;Bezirk Arbon;2021;14223
4421;Horn;2011;Bezirk Arbon;2021;2882
